t_epoch_s,power_mW,gpu_index,source
1767014114.914003,10330,0,nvidia-smi
1767014115.015415,10320,0,nvidia-smi
1767014115.115103,10320,0,nvidia-smi
1767014115.227254,10320,0,nvidia-smi
1767014115.303099,10320,0,nvidia-smi
1767014115.414995,10320,0,nvidia-smi
1767014115.503075,10320,0,nvidia-smi
1767014115.615148,10320,0,nvidia-smi
1767014115.714252,10320,0,nvidia-smi
1767014115.802877,10320,0,nvidia-smi
1767014115.903006,10320,0,nvidia-smi
1767014116.002254,10390,0,nvidia-smi
1767014116.103642,10390,0,nvidia-smi
1767014116.214076,10390,0,nvidia-smi
1767014116.303279,10390,0,nvidia-smi
1767014116.403064,10390,0,nvidia-smi
1767014116.503515,10390,0,nvidia-smi
1767014116.603051,10390,0,nvidia-smi
1767014116.713977,10390,0,nvidia-smi
1767014116.813268,10390,0,nvidia-smi
1767014116.914303,10390,0,nvidia-smi
1767014117.002818,10400,0,nvidia-smi
1767014117.101401,10400,0,nvidia-smi
1767014117.214106,10400,0,nvidia-smi
1767014117.302243,10400,0,nvidia-smi
1767014117.402906,10400,0,nvidia-smi
1767014117.515278,10400,0,nvidia-smi
1767014117.614047,10400,0,nvidia-smi
1767014117.702137,10400,0,nvidia-smi
1767014117.803356,10400,0,nvidia-smi
1767014117.901275,10400,0,nvidia-smi
1767014118.002875,10340,0,nvidia-smi
1767014118.115037,10340,0,nvidia-smi
1767014118.202409,10340,0,nvidia-smi
1767014118.314382,10340,0,nvidia-smi
1767014118.416254,10340,0,nvidia-smi
1767014118.502931,10340,0,nvidia-smi
1767014118.602899,10340,0,nvidia-smi
1767014118.715059,10340,0,nvidia-smi
1767014118.813996,10340,0,nvidia-smi
1767014118.902850,10340,0,nvidia-smi
1767014119.014247,10270,0,nvidia-smi
1767014119.114099,10270,0,nvidia-smi
1767014119.214623,10270,0,nvidia-smi
1767014119.340536,10270,0,nvidia-smi
1767014119.413799,10270,0,nvidia-smi
1767014119.501926,10270,0,nvidia-smi
1767014119.626449,10270,0,nvidia-smi
1767014119.702288,10270,0,nvidia-smi
1767014119.801895,10270,0,nvidia-smi
1767014119.902855,10270,0,nvidia-smi
1767014120.003086,10310,0,nvidia-smi
1767014120.102891,10310,0,nvidia-smi
1767014120.214228,10310,0,nvidia-smi
1767014120.303468,10310,0,nvidia-smi
1767014120.414207,10310,0,nvidia-smi
1767014120.503099,10310,0,nvidia-smi
1767014120.602941,10310,0,nvidia-smi
1767014120.713843,10310,0,nvidia-smi
1767014120.813980,10310,0,nvidia-smi
1767014120.902247,10310,0,nvidia-smi
1767014121.014356,10350,0,nvidia-smi
